PVR_PECy7,PLVAP_APC,CD51_FITC,CD168_700,Zombie_violet,CIP2A_APCCy7,VEGFR1_594,CD42_BV605,Colony
323,246,622,716,548,94,171,"3,386",0
636,650,411,"1,584",963,"1,131","1,293","70,621",0
"1,053",211,525,950,416,177,-34,"8,197",0
"1,425",363,680,822,731,758,558,"28,126",0
374,341,208,606,278,343,520,"37,082",0
"1,085",142,399,93,474,585,887,"25,526",0
381,64,529,799,555,282,679,"26,322",0
"1,816",27,472,-32,312,124,200,"2,507",0
"2,693",70,891,896,"1,266",326,411,"18,731",0
486,134,799,987,811,29,343,"13,208",0
"1,139",112,489,599,330,281,125,"2,480",0
"1,385",198,550,119,466,-9,238,715,0
"2,538",104,865,694,776,364,151,"1,811",0
"3,022",228,"1,129",547,701,267,359,"3,358",0
486,120,"1,130",647,431,565,105,"12,004",0
396,104,301,236,398,238,535,"9,935",0
887,90,834,425,269,216,175,"1,616",0
496,222,572,560,"1,267",714,795,"32,689",0
242,222,793,448,904,169,964,"39,724",0
"4,127","2,243",426,"1,155","1,128","16,320",281,"14,815",0
"1,459",133,344,212,194,84,107,295,0
245,106,684,506,442,379,313,"21,646",0
"1,302",212,581,339,677,174,178,"1,229",0
"1,181",197,462,816,341,361,64,"4,615",0
"1,563",143,520,501,498,152,273,"16,756",0
933,273,929,309,552,651,54,"8,037",0
63,152,"1,121",811,490,472,192,"31,727",0
283,93,381,819,433,115,457,"23,797",0
735,321,693,"1,060",872,467,-143,"7,958",0
131,108,423,186,620,307,351,"13,672",0
409,435,745,817,872,344,272,"21,463",0
660,207,597,"1,188",664,284,159,"9,584",0
341,198,"1,581",-188,945,774,379,"1,636",0
518,105,524,11,332,445,-78,"11,984",0
465,130,-19,"4,301","2,066","1,144",761,"39,330",0
"1,067",108,955,"1,578",965,-139,272,685,0
439,127,243,"1,361","1,215",852,879,"38,676",0
1,180,557,-325,422,419,495,"15,248",0
-104,385,634,"1,537",727,942,219,"18,774",0
"2,935",21,536,103,488,360,118,"1,039",0
"1,254",192,477,388,386,198,126,"1,301",0
-65,36,334,47,77,140,82,"2,949",0
"2,666",176,583,506,466,-49,61,"2,703",0
20,2,437,427,"1,365",244,555,"18,455",0
676,176,785,"1,132","1,254",473,"1,556","49,259",0
259,68,432,2,437,333,342,"16,434",0
239,112,478,261,731,204,242,"11,209",0
194,260,925,199,601,670,379,"23,040",0
"1,656",118,377,320,293,39,124,479,0
"1,208",33,641,575,596,506,305,"11,303",0
"1,039",96,434,114,297,276,123,426,0
306,198,235,"1,713",828,631,-58,"13,951",0
"1,005",411,"1,422","1,339","1,238","1,630",922,"48,698",0
444,118,779,-1,435,237,635,"23,254",0
658,226,556,238,635,210,158,"11,427",0
681,180,487,68,488,306,176,513,0
"2,662",110,414,424,476,53,277,"6,652",0
714,76,367,202,554,644,585,"18,166",0
"2,931",252,640,"1,265","1,021",-39,137,"2,881",0
323,273,412,897,590,699,-24,"17,333",0
"2,512",456,441,617,704,443,204,"1,109",0
"2,445",127,685,180,543,507,587,"12,011",0
"1,218",91,718,648,461,"1,156",882,"19,630",0
"1,002",401,724,529,455,"1,992",776,"27,991",0
"2,300",-26,891,"1,375",956,26,135,"4,690",0
"4,175",412,931,"1,256",747,346,193,"4,549",0
"2,026",254,956,420,419,324,491,"19,928",0
143,29,402,615,856,171,789,"20,957",0
872,4,506,-175,317,280,231,"1,647",0
46,76,443,-100,631,125,387,"6,812",0
"1,317",1,278,131,195,80,132,197,0
19,121,652,913,"1,482",315,339,"19,473",0
"16,339","23,019",-855,"12,059",-745,"235,889",62,"1,066",0
828,175,540,958,514,405,279,"13,908",0
299,212,556,"1,032","1,130",453,977,"42,422",0
546,470,510,767,499,856,210,"12,923",0
645,107,326,615,856,129,811,"25,076",0
"2,225",394,"1,004",881,516,350,197,"5,464",0
"1,606",-24,226,96,152,257,74,154,0
436,364,531,"1,079",765,761,274,"19,504",0
"1,639",106,361,"2,299","1,121",838,185,"10,745",0
"1,279",901,580,475,548,803,39,"2,886",0
516,33,388,651,397,166,200,"7,056",0
108,359,613,640,783,699,841,"32,441",0
956,114,686,71,333,499,177,"5,323",0
682,83,187,684,655,327,376,"16,084",0
382,99,250,25,380,139,550,"19,239",0
"1,216",21,506,156,372,208,116,"1,022",0
531,74,579,884,"1,204",464,"1,062","31,849",0
-6,91,307,438,438,3,491,"12,842",0
518,318,325,"1,431",614,689,238,"16,779",0
761,173,368,13,647,602,444,"10,924",0
"1,977",80,321,99,306,181,65,333,0
"3,848",116,522,208,360,36,152,878,0
954,155,454,344,503,319,121,"3,896",0
41,-21,214,104,256,-12,194,"3,503",0
522,120,441,129,435,145,-23,"6,460",0
659,159,372,201,518,263,409,"22,320",0
-116,22,302,"3,738",704,14,904,"33,007",0
561,257,475,339,"1,003",299,"1,497","47,997",0
393,196,520,-48,461,260,351,"8,266",0
60,-6,722,-197,416,-48,118,"2,753",0
781,121,477,8,340,761,313,"6,462",0
"2,190",105,578,447,387,293,175,"6,113",0
"1,103",125,510,384,241,208,404,"21,341",0
850,85,423,10,496,305,147,"5,039",0
453,310,"1,026",922,649,136,288,"19,908",0
623,190,398,97,793,529,"1,175","45,265",0
874,110,329,383,333,156,73,"3,481",0
"2,013",-61,379,-69,195,229,138,142,0
"1,396",8,286,211,393,140,-8,"1,463",0
464,214,363,-27,204,564,102,"3,917",0
210,256,827,456,447,59,0,"12,142",0
372,124,592,40,541,130,934,"24,131",0
419,197,365,891,722,223,272,"30,168",0
507,-15,585,236,940,181,956,"26,607",0
940,266,361,"1,101",770,762,3,"25,516",0
677,113,410,158,221,285,219,"3,554",0
-77,101,620,314,599,74,644,"15,070",0
"1,989",723,"1,912","3,543","2,105","1,110",-109,"27,516",0
80,141,364,335,332,261,268,"22,093",0
538,121,324,329,449,377,726,"36,822",0
"1,580",254,840,605,449,650,307,"12,824",0
315,27,675,803,414,272,278,"23,692",0
-17,50,473,"3,347","2,072","1,174",871,"36,670",0
"1,101",534,958,631,"1,228",606,129,"19,675",0
367,179,798,875,903,88,"1,087","44,707",0
"1,368",117,334,-30,353,225,160,357,0
"2,137",271,620,"1,521","1,396",488,464,"29,076",0
"1,019",208,"1,299",633,950,422,165,"19,077",0
508,3,348,260,325,9,348,"12,010",0
"2,975",448,749,"2,237","1,534",878,-191,"50,286",0
616,157,405,496,296,282,141,"2,893",0
957,232,344,966,789,324,292,"27,316",0
"3,468",139,456,423,275,69,88,398,0
777,392,737,742,589,563,19,"7,315",0
326,46,952,563,"1,439",361,"1,274","58,868",0
162,291,603,"1,139",917,517,265,"36,554",0
755,184,"1,143",905,476,456,791,"36,977",0
"5,649","9,800","-1,477","24,651","1,435","62,513",-266,"17,741",0
"2,804",87,353,269,306,10,254,312,0
294,132,"1,843",566,"1,475",242,552,"20,901",0
806,24,220,364,314,277,181,282,0
214,346,431,735,370,"1,537",98,"14,102",0
451,85,375,-43,137,160,152,"4,389",0
"1,249",135,399,336,296,262,44,"1,109",0
535,194,"2,981",735,513,387,865,"21,583",0
"2,226",149,642,247,501,334,206,"1,229",0
241,212,673,"1,136","1,586",588,"1,013","37,580",0
"2,174",-55,"1,249",-69,340,320,-3,"7,960",0
878,116,221,564,719,671,278,"17,555",0
247,94,362,606,695,439,306,"11,180",0
"1,068",314,628,"1,167",721,"1,004",147,"16,983",0
213,132,262,716,621,187,433,"22,649",0
619,198,546,580,672,554,831,"35,042",0
554,181,"1,191",472,714,557,397,"11,756",0
952,408,"1,029","1,235",877,"2,005",719,"31,081",0
-105,96,423,262,410,210,410,"22,652",0
687,86,690,265,383,162,242,"2,068",0
"1,317",84,447,261,433,251,317,"9,610",0
75,127,337,363,508,454,669,"38,214",0
"1,971",105,461,524,581,83,98,666,0
355,128,410,494,400,216,396,"20,369",0
675,195,738,"1,018",680,682,196,"12,304",0
245,250,455,778,750,317,261,"7,975",0
63,169,513,874,769,430,414,"30,579",0
719,105,399,677,572,608,-98,"5,864",0
"20,489","15,170",463,"2,867",121,"131,331",212,"12,954",0
"2,112",40,219,439,220,103,143,298,0
412,207,"1,318",-195,487,543,862,"31,784",0
631,146,615,612,"1,221",449,"2,037","54,997",0
289,30,918,"1,463","1,283",333,207,"23,719",0
"1,484",-53,256,178,281,290,95,251,0
582,194,501,30,449,288,436,"10,101",0
319,85,456,459,595,297,424,"13,885",0
188,180,169,940,648,212,346,"35,128",0
"1,249",117,576,597,484,56,82,"5,304",0
"1,471",194,462,9,388,184,577,"15,719",0
22,127,445,397,437,338,101,"7,488",0
"2,267",161,693,684,822,514,224,"4,755",0
267,94,560,715,342,111,263,"11,941",0
400,-3,232,638,641,831,763,"22,851",0
"2,255",342,"2,135","1,508","2,592","1,722","1,285","80,433",0
"3,254",38,590,430,295,56,213,373,0
"1,154",94,462,763,579,361,149,"3,005",0
787,229,"1,012",441,683,798,322,"4,712",0
