Well,Plate,FSC_A,FSC_W,SSC_A,PVR_PECy7,PLVAP_APC,CD51_FITC,CD168_700,Zombie,CD41_APCH7,MICB_PE,CD42_BV605,Colony
K12,1,"115,956","158,503","57,781","-1,202",931,920,314,436,"33,936",445,"7,842",N
K13,1,"95,815","124,984","26,210","2,451",295,200,7,426,161,211,684,N
K14,1,"80,874","110,262","15,828","1,668",375,155,-79,193,"3,197",336,354,N
K15,1,"127,343","154,570","23,199",24,"1,392",616,6,60,"13,539",737,"5,453",N
K16,1,"79,624","127,891","20,301",651,620,299,215,-189,"14,086",500,"10,516",N
K17,1,"134,106","163,771","58,514",657,825,671,152,"1,058","3,384",571,"1,377",N
K18,1,"87,131","124,419","15,632","1,785",270,523,131,107,"8,412",228,"2,344",N
K19,1,"76,520","124,793","31,287",10,696,649,-46,383,"14,866",434,365,N
K20,1,"101,276","138,031","30,639","1,535",562,714,141,590,"24,610",604,800,N
K21,1,"91,348","120,912","15,824","1,940",39,174,79,327,487,174,421,N
K22,1,"114,497","164,859","27,640",-58,961,782,23,278,"18,552",312,"6,535",N
K23,1,"157,357","195,161","99,741","1,255",808,"1,014",54,"1,587","14,562",591,"2,137",N
K24,1,"71,224","104,097","13,182","1,656",-31,63,72,138,271,335,156,N
L1,1,"126,705","152,147","23,229","2,216",-112,600,211,275,"13,317",232,510,N
L2,1,"101,538","137,247","20,804",-154,364,453,58,37,"20,308",271,"4,413",N
L3,1,"101,065","153,458","68,463","2,528",593,"2,436",93,862,"11,213",761,892,N
L4,1,"119,096","158,045","40,820",304,512,528,-79,432,"18,854",458,731,N
L5,1,"91,734","126,556","52,486",-310,834,808,274,"1,689","11,009",442,"2,229",N
L6,1,"130,447","181,065","79,070",-117,344,664,195,"1,317","2,754",775,"20,125",N
L7,1,"103,849","133,341","38,213",676,993,543,-43,788,"10,122",418,937,N
L8,1,"91,690","126,708","22,881","3,101",47,132,26,265,"2,697",655,227,N
L9,1,"93,683","151,028","46,173",-250,915,"1,015",102,33,"31,240",400,"12,493",N
L10,1,"105,811","153,590","29,722","2,377",243,258,133,346,"2,938",813,355,N
L11,1,"105,047","135,006","38,295","1,599",319,334,46,466,"2,883",328,541,N
L12,1,"110,458","147,470","35,756","1,811",995,"1,142",27,484,"14,118",528,"6,836",N
L13,1,"117,350","153,160","33,840",960,317,503,-15,242,"16,648",457,"5,588",N
L14,1,"113,224","151,607","29,580","2,833",631,538,-70,276,"14,877",289,"2,011",Y
L15,1,"111,687","156,923","34,010","3,157","1,285",938,134,144,"22,033",625,"9,580",N
L16,1,"70,171","114,808","32,492",575,426,433,-48,344,"8,037",100,843,N
L17,1,"95,082","126,290","25,960",100,692,544,-48,344,"15,081",266,902,N
L18,1,"86,981","136,045","22,555",935,785,460,219,380,"21,688",314,"3,251",N
L19,1,"95,647","134,053","25,081","1,799",226,208,-30,211,"1,577",430,361,N
L20,1,"88,868","133,360","23,653","2,565",525,395,71,140,"13,894",294,"2,679",N
L21,1,"108,019","146,166","22,805","4,321",204,316,59,215,"1,528",663,260,N
L22,1,"84,571","132,085","21,554","1,100",479,554,139,124,"21,055",763,906,N
L23,1,"116,795","169,073","21,242","1,033",668,708,155,215,"12,027",303,"2,314",N
L24,1,"138,359","187,206","47,533","1,674",456,829,-9,559,"30,280","1,278","1,273",N
M1,1,"90,555","118,375","35,650",360,110,325,123,529,"3,850",220,527,N
M2,1,"95,514","119,742","20,999",745,463,547,148,253,"12,618",22,"3,551",N
M3,1,"85,914","113,800","21,168","1,205",181,300,-96,356,"3,550",714,498,N
M4,1,"72,678","104,698","17,781",778,332,133,19,104,"7,266",228,165,N
M5,1,"116,702","149,859","41,284","-1,303",834,"1,128",336,358,"20,943",107,"6,888",N
M6,1,"88,630","131,279","23,091","2,206",441,742,-152,261,"5,317",171,540,N
M7,1,"117,830","155,813","107,495",-589,"1,435","1,056",285,"2,081","18,354",414,"16,541",N
M8,1,"90,208","118,949","20,999",800,639,306,364,-128,"14,931",232,"9,807",N
M9,1,"111,975","151,080","41,688",-457,233,821,295,198,"23,150",321,"10,380",N
M10,1,"98,534","145,870","35,362","1,496",183,491,179,328,"11,044",564,"5,456",N
M11,1,"87,166","134,627","23,996","4,375",18,227,-7,284,"1,211",517,315,N
M12,1,"78,656","106,163","17,501","1,573",152,166,-41,200,911,317,303,N
M13,1,"124,681","151,448","25,341","3,188",46,242,72,323,"1,172",680,399,N
M14,1,"80,781","116,149","17,337",-324,138,585,112,154,"19,074",243,"1,532",N
M15,1,"81,893","114,470","20,356","2,865",2,189,127,274,"1,608",411,254,N
M16,1,"86,576","118,469","44,369",-134,890,252,22,4,"18,013",252,"12,467",N
M17,1,"85,818","127,680","21,759",180,415,421,-124,179,"18,038",357,"4,004",N
M18,1,"113,474","141,241","63,332",727,"2,265",897,345,"1,050","8,510",521,"1,915",N
M19,1,"124,476","154,917","43,531","3,365",564,"1,449",241,924,"17,382",751,771,N
M20,1,"96,498","147,237","53,653",-584,"1,003",455,103,196,"20,390",434,"13,580",N
M21,1,"65,739","130,950","40,236","1,337",547,452,356,665,"13,767",282,607,N
M22,1,"75,269","126,388","22,158","2,212",124,116,35,161,588,200,275,N
M23,1,"100,548","148,116","38,618","1,048",88,670,126,542,"16,010",632,"3,316",N
M24,1,"71,206","107,653","34,166","1,221",458,278,412,608,"3,986",443,695,N
N1,1,"79,893","116,737","22,108","2,431",21,161,70,332,"3,182",195,467,N
N2,1,"96,194","131,357","39,243",-419,513,"1,153",99,355,"9,196",294,"4,534",N
N3,1,"99,797","131,118","30,570","1,836",585,158,166,-95,"13,342",57,"10,797",N
N4,1,"92,569","138,961","40,019",277,703,705,161,"1,143","9,605",324,"1,314",N
N5,1,"115,323","172,003","52,906",78,484,793,248,925,"18,445",573,"2,501",Y
N6,1,"93,298","128,491","31,180",98,579,550,110,661,"20,443",484,885,N
