Well,Plate,FSC_A,FSC_W,SSC_A,PVR_PECy7,ANXA1_APC,CD51_FITC,CD168_700,Zombie,CD41_APCH7,MICB_PE,CD42_BV605,Colony
H23,1,"63,487","122,822","45,923",60,272,382,161,889,"3,235",330,"1,539",N
H24,1,"82,873","125,107","50,069",653,227,599,219,962,"3,363",390,994,N
I1,1,"88,253","113,804","27,100","2,431",-39,297,172,409,852,293,"2,473",N
I2,1,"153,578","181,673","90,904","5,293",488,"1,232",398,"1,344","4,675","1,044","7,321",N
I3,1,"79,508","134,681","58,375",999,190,"2,574",187,997,"5,818",224,"5,599",N
I4,1,"57,996","93,071","6,063",13,73,77,86,39,200,-1,372,N
I5,1,"97,385","135,783","43,911","3,990",248,736,-67,909,"2,194","1,096","2,149",N
I6,1,"119,865","178,643","56,087","7,351",-39,"1,060",110,"1,105","2,830",762,"8,381",N
I7,1,"69,069","127,250","30,244",384,307,730,318,"1,716","3,005",294,"2,012",N
I8,1,"29,964","89,095","13,492",93,-48,480,118,743,218,173,633,N
I9,1,"89,319","138,119","81,375",175,340,449,76,675,"6,716",541,"1,695",N
I10,1,"107,929","142,615","45,111","1,591",108,521,87,764,279,884,950,N
I11,1,"96,349","143,078","52,546","1,936",239,499,5,"1,181","1,503",430,"2,391",N
I12,1,"106,023","125,478","43,659",578,271,958,117,987,"4,101",279,789,N
I13,1,"82,032","127,794","46,935","1,245",177,482,140,747,"2,259",398,865,N
I14,1,"83,517","112,320","19,810",629,85,414,100,514,"2,531",271,"2,657",N
I15,1,"80,836","111,822","31,673",363,45,555,130,451,"2,705",139,"2,241",N
I16,1,"108,994","141,362","69,320","1,636",309,800,-64,"1,497","3,341",831,"20,633",N
I17,1,"86,075","141,856","34,491","1,319",330,559,310,839,"4,502",-81,"24,998",N
I18,1,"85,335","120,881","53,135",87,652,389,-63,774,"4,319",9,"8,351",N
I19,1,"65,057","102,730","37,367",75,170,523,-27,733,"3,603",362,"6,506",N
I20,1,"116,446","137,087","29,114","3,588",66,660,-37,467,"2,505",575,"3,512",N
I21,1,"113,027","125,429","38,590",917,333,"1,079",152,"1,301","1,516",375,"1,039",N
I22,1,"66,803","125,132","36,133","3,436",165,653,157,677,"2,891",773,"1,098",Y
I23,1,"88,846","146,754","52,341","4,000",209,435,53,564,"1,163","1,271","2,286",N
I24,1,"63,712","107,892","41,009",552,179,732,-9,933,"1,654",356,"1,048",N
J1,1,"93,459","156,116","76,357",507,258,612,142,"1,173","4,562",153,"9,978",N
J2,1,"113,624","142,473","32,207","1,752",160,669,110,520,"6,096",492,"1,012",Y
J3,1,"101,148","120,805","35,245","3,084",113,487,114,460,"1,394",513,"1,890",N
J4,1,"107,231","166,923","45,438","2,864",169,"1,014",-73,660,"1,415",748,"9,009",Y
J5,1,"61,856","107,342","35,520","1,520",129,535,404,751,"2,029",186,"2,521",N
J6,1,"54,001","91,589","43,745",247,65,"1,261","1,030","1,314","1,427",228,"16,283",N
J7,1,"91,515","131,600","20,183","2,277",-31,92,-150,171,"1,701",426,"2,136",N
J8,1,"163,265","180,103","93,918","4,977",121,"1,672",272,"2,143","2,518","1,447","2,108",N
J9,1,"80,804","116,161","43,657",136,98,380,-18,660,"2,085",184,"2,297",N
J10,1,"135,622","187,938","100,248","6,245",727,"1,504",159,"3,069","5,347","1,549","11,391",N
J11,1,"68,499","123,515","39,735",735,156,650,52,"1,060","4,909",56,"7,119",N
