Well,FSC_A,FSC_W,SSC_A,PVR_PECy7,ANXA1_APC,CD51_FITC,CD168_700,Zombie,CD41_APCH7,MICB_PE,CD42_BV605,Colony,Plate
I18,"124,059","145,123","61,211",891,-596,808,101,168,"17,588",754,"6,520",N,1
I19,"116,227","129,283","30,451","2,934",-452,445,810,91,"14,892",-188,"7,562",N,1
I20,"120,649","151,090","35,855","2,167",-711,692,117,322,"19,902",64,"8,646",N,1
I21,"154,263","172,911","67,076",271,"-1,271","1,546",218,165,"32,711",540,"19,515",N,1
I22,"113,568","126,794","25,101","5,676",-224,611,199,212,"8,957",424,310,Y,1
I23,"98,547","115,584","28,299","2,260",92,404,8,266,"6,701",818,307,N,1
I24,"92,680","102,273","15,655","3,580",-160,278,170,143,"6,734",141,897,N,1
J1,"118,649","129,312","21,275","2,526",-195,366,127,-27,"7,478",509,"4,653",N,1
J2,"124,633","133,771","36,470","2,411",-995,395,123,164,"23,998",234,"5,275",N,1
J3,"110,602","140,343","31,283","2,281",-226,345,-83,134,"10,195",506,"6,231",N,1
J4,"106,549","136,795","48,810","1,209",-369,658,-169,183,"7,200",271,759,N,1
J5,"109,600","143,710","33,625","5,444",28,289,-31,255,"3,037",28,389,N,1
J6,"118,030","148,957","70,736","3,316","-1,640",865,-18,157,"30,762",659,"5,460",Y,1
J7,"89,331","120,112","29,069","1,282",-350,553,-153,175,"16,339",88,"4,643",N,1
J8,"100,942","116,844","24,086","2,861",-213,481,46,269,"7,482",254,291,Y,1
J9,"88,046","124,120","39,248","1,085",197,747,43,928,"1,423",675,812,N,1
J10,"90,296","115,821","65,879","2,324",66,549,-8,495,"2,470",208,545,N,1
J11,"97,507","142,932","75,978",937,-500,-351,255,"-2,747","14,276",-268,"76,919",N,1
J12,"100,979","115,524","23,181","3,030",-164,235,41,87,"11,490",347,118,N,1
J13,"107,164","147,399","40,214","2,040",-286,871,-20,602,"12,978",573,"2,340",N,1
J14,"96,555","119,310","20,837","1,550",-409,593,35,47,"13,576",189,"4,789",N,1
J15,"108,971","148,841","52,745","2,228",-347,565,484,335,"13,029",162,"1,395",N,1
J16,"99,856","112,221","24,264","3,226",-202,582,510,489,"7,903","1,031",279,Y,1
J17,"175,231","223,240","52,126","5,403",-749,746,4,-387,"23,120",741,"12,127",Y,1
J18,"156,967","164,350","32,784","2,559",-346,426,182,35,"11,433",-131,"8,183",N,1
J19,"114,023","151,581","26,380","4,649",-206,342,220,80,"6,501",544,"3,834",Y,1
J20,"84,518","114,361","57,750","2,233",141,274,"5,178",233,"6,732",458,378,N,1
J21,"109,289","130,784","28,443","1,913",-123,208,101,-62,"5,657",316,"9,477",Y,1
J22,"109,315","136,406","35,151",915,-506,512,79,34,"13,420",447,"9,500",N,1
J23,"136,913","143,800","30,789","1,980",-555,591,278,274,"13,896",87,"2,027",N,1
J24,"89,038","119,810","25,797","1,956",-218,311,-34,-71,"8,434",172,"7,906",N,1
K1,"126,382","135,544","34,672","2,715",-104,501,-85,72,"14,775","1,104","6,667",N,1
K2,"111,082","124,358","19,697","4,865",-212,540,263,161,"6,342",158,"2,235",N,1
K3,"88,516","128,307","61,536","2,890",166,"1,030",241,885,"6,425",620,"1,266",N,1
K4,"106,328","140,558","39,541","3,819",-221,652,131,245,"12,047",649,"3,113",Y,1
K5,"118,968","139,301","29,808","2,747",-361,279,46,194,"9,429",127,"1,131",N,1
K6,"142,083","162,480","103,304","5,829",-786,"2,645",430,"1,115","31,766",578,"12,202",Y,1
K7,"114,256","150,589","53,805","1,948",-644,547,97,222,"24,560",888,"10,067",Y,1
K8,"102,382","118,433","29,438","1,310",-366,460,77,256,"12,141",348,"1,471",N,1
K9,"86,538","130,784","48,816","3,185",-883,756,204,72,"21,205",450,"16,270",N,1
K10,"90,189","112,052","19,690","2,263",98,253,81,200,"1,524",-46,562,N,1
K11,"97,113","120,759","41,442",940,-332,483,-195,269,"9,441",336,"1,878",N,1
K12,"106,163","116,518","19,489","2,909",-53,169,107,130,"2,100",180,260,N,1
K13,"153,778","163,198","59,165","2,088",-457,"1,030",-58,716,"17,485",668,"1,586",N,1
K14,"83,387","108,931","46,877","2,420",98,564,134,386,"1,633",466,468,N,1
K15,"111,838","123,341","19,386","2,404",-345,494,-8,152,"9,505",596,343,N,1
K16,"114,949","121,214","22,938","2,264",-76,369,88,158,"7,504",6,"1,651",N,1
K17,"106,789","125,418","29,355","2,107",-661,851,-23,103,"16,978",86,"5,979",N,1
K18,"104,267","115,088","23,785","1,468",12,677,176,275,"2,503",149,224,N,1
K19,"97,880","142,267","51,356",989,-716,962,149,180,"19,070",160,"8,432",N,1
K20,"124,359","153,980","36,931","1,764",-519,679,102,-34,"16,684",598,"11,959",N,1
K21,"205,904","229,005","67,320","8,730",-494,770,262,80,"19,690",-100,"13,798",Y,1
K22,"145,846","158,287","33,343","1,917",-270,525,261,134,"11,529",176,"5,190",N,1
K23,"129,635","150,717","35,258","1,358",-431,871,49,257,"13,626","1,023",422,Y,1
K24,"103,445","123,152","27,882","1,697",-626,386,322,193,"17,854",101,"7,601",N,1
L1,"91,127","109,701","18,541","1,570",-551,320,-104,93,"14,866",326,761,N,1
L2,"142,425","167,645","37,311","2,859",-626,841,417,-71,"22,794",-191,"10,151",N,1
L3,"99,205","112,328","21,504","2,974",-144,463,39,272,"9,711",73,358,Y,1
L4,"99,173","121,536","20,038","1,401",-7,326,531,161,"12,784",327,869,N,1
L5,"101,080","119,531","25,313","1,669",-330,511,316,361,"8,756",154,582,N,1
L6,"117,457","132,460","29,985","2,366",48,502,62,250,"5,690",221,396,Y,1
L7,"154,125","182,156","88,355","4,514",-772,"2,218",-298,384,"16,430",553,512,N,1
L8,"99,776","133,756","29,909","1,085",-686,465,95,279,"19,097",318,"2,733",N,1
