CD41_APCH7,ANXA1_APC,Zombie_violet,PVR_PECy7,CD51_FITC,VEGFR1_594,CD168_700,Colony
"4,479",456,79,559,393,109,"1,045",0
927,159,81,"1,285",271,131,"1,783",0
38,320,152,158,403,484,148,0
"5,679",343,138,"1,125",641,181,"1,168",0
528,240,98,"1,673",216,151,849,0
"1,843","1,010",265,255,846,"3,972","46,807",0
247,165,122,770,205,147,"1,280",0
922,278,53,"1,436",323,226,"1,213",0
"2,331",619,46,"1,056",437,68,"1,275",0
"3,770",474,104,37,723,145,898,0
309,256,232,322,577,657,41,0
"1,717",187,-73,"1,820",113,-87,307,0
"1,573",-25,79,278,232,93,603,0
"6,793",730,69,862,396,92,535,0
"1,215",440,40,641,289,175,"1,665",0
"4,992",666,71,"1,552",280,238,647,0
"12,716",463,112,532,342,118,"2,267",0
"1,791",81,81,"1,157",642,45,"1,064",0
"3,880",461,56,718,177,90,315,0
"1,651",383,77,"2,487",445,123,790,0
"5,433",475,149,911,862,119,"1,095",0
205,259,95,"1,454",201,171,983,0
"4,555",378,108,288,709,127,797,0
"7,214","1,810",222,"1,499","1,307",402,"2,085",0
"3,006",265,214,738,348,232,"1,996",0
"6,381","1,977",190,"1,058",958,346,"3,751",0
"5,466",784,171,444,958,254,"2,990",0
"1,201",482,84,"1,133",282,119,916,0
"6,714",897,271,-45,862,330,"1,187",0
913,400,78,"1,300",167,157,"1,000",0
144,-11,59,"1,298",145,123,282,0
168,260,65,344,154,"1,077","6,017",0
"1,860",385,56,"1,217",248,222,687,0
"2,735",173,74,"1,196",277,85,582,0
"6,602",182,72,159,806,94,"2,170",0
"1,040",139,221,377,"2,232",253,345,0
599,374,113,517,263,172,932,0
108,179,50,858,156,104,600,0
250,"1,015",69,179,373,404,523,0
339,557,103,"1,564",263,171,"1,407",0
132,265,60,742,164,153,711,0
"1,461",413,102,"1,028",351,205,927,0
345,626,217,811,293,"1,240","10,368",0
256,170,80,491,217,138,-58,0
844,682,112,"2,631",464,156,"3,266",0
"2,187",328,118,"1,435",673,91,840,0
"1,873",338,85,"2,081",395,172,"1,791",0
"2,818",457,101,630,735,139,"2,389",0
618,622,102,669,231,116,"1,786",0
"1,900",270,45,715,277,-19,739,0
"1,490","6,225",95,698,307,274,"5,937",0
317,351,52,"1,647",257,144,436,0
336,220,37,234,372,227,230,0
"2,485",297,99,453,226,387,476,0
"1,770",184,36,"1,717",193,78,792,0
932,536,64,531,386,167,334,0
"1,326",841,132,336,580,359,"1,100",0
"1,923",98,137,373,533,358,"1,291",0
205,203,93,"1,114",208,138,550,0
"6,053",573,83,234,629,179,"2,658",0
359,181,44,149,138,267,495,0
"8,717",105,63,306,646,44,"1,288",0
"2,907",139,76,-6,288,149,88,0
"1,007",149,118,"1,642",361,98,"1,551",0
-42,298,94,"1,399",119,174,536,0
"3,971",478,185,671,816,247,"2,540",0
314,148,43,"1,115",155,112,179,0
"7,568",7,89,328,601,61,495,0
"5,128",547,65,"1,436","1,608",179,757,0
"1,129",164,55,507,196,154,0,0
"5,371",607,111,500,556,214,"1,193",0
"1,661",-113,20,543,197,34,798,0
"4,014","1,170",354,122,709,419,"2,175",0
"3,335","1,523",130,531,"1,125",162,"2,502",0
"1,587",549,84,"2,338",344,175,"1,092",0
"2,259",431,80,"2,415",372,90,"3,490",0
