CIP2A_APC,CD41_APCH,CD42_BV605,Vimentin_488,PVR_PECy7,MICB_PE,Zombie,Colony
55,1532,766,695,2415,438,1152,0
37,30847,10472,1271,3538,615,1714,0
63,1240,539,369,2295,756,971,0
78,2511,1348,1019,3060,656,1450,0
104,36563,7910,844,2662,462,982,0
28,7101,356,274,2204,668,450,0
42,7731,878,770,3180,650,1237,0
15,9501,436,348,2711,444,885,0
107,12354,1593,1314,3387,596,1719,0
60,8785,1034,617,2876,568,974,0
33,3274,1007,678,2855,393,1028,0
38,4075,3084,864,3691,381,1810,0
136,34380,19520,2148,4551,670,993,0
33,2124,808,672,3179,737,1085,0
32,30850,7833,1055,3460,828,1089,0
67,2843,743,595,2672,633,907,0
45,16409,1212,986,2726,846,1465,0
64,28691,10546,1347,3833,966,2022,0
14,4598,887,498,3476,665,1048,0
40,8513,547,569,2808,743,1105,0
100,9476,1152,1031,3601,427,2558,0
20,7862,704,541,2911,617,989,0
59,1852,857,721,3380,805,1391,0
62,25006,10089,1362,3156,944,1168,0
28,2555,438,373,3553,821,824,0
42,19485,3302,1239,4039,794,2364,0
59,1072,998,698,3843,475,980,0
55,7539,535,453,3341,375,1039,0
31,5505,557,342,2412,538,887,0
34,767,757,624,3275,417,1200,0
17,8705,337,356,2269,605,707,0
19,134,574,559,2259,445,944,0
80,1474,1093,789,4264,656,1033,0
12,19478,4025,778,2890,398,1208,0
32,1190,387,338,3037,381,662,0
34,5167,286,333,2202,587,598,0
80,8263,1147,1020,2461,647,1708,0
29,3012,536,437,2136,560,714,0
70,40986,28236,1203,4391,869,637,0
37,4688,492,421,2459,504,796,0
90,28882,6997,958,2686,1002,1049,0
35,1954,560,430,3721,642,762,0
115,24663,5192,1349,5252,1016,2034,0
8,9948,640,430,2423,411,923,0
40,3012,540,462,2700,396,973,0
29,1819,1091,830,3987,655,1964,0
76,7197,1010,704,2953,495,1756,0
30,3416,593,506,3139,552,779,0
30,1333,612,523,2163,370,791,0
6,3162,439,372,2416,530,652,0
32,3945,895,530,2581,857,1122,0
96,16309,3080,1365,2989,532,2856,0
60,587,827,673,2879,495,1635,0
67,9231,1538,1340,2547,968,2118,0
69,10968,1509,1102,5336,786,1512,0
25,21117,5715,579,2590,679,1038,0
61,4252,1104,932,2981,489,1403,0
56,4335,661,611,3508,679,1019,0
5,3025,675,488,2299,437,846,0
95,10445,1321,1303,2396,526,2799,0
94,12485,1548,1011,2950,606,1501,0
51,9121,1507,738,2896,367,1165,0
85,7320,987,657,3000,439,1109,0
54,4121,547,561,3311,442,1124,0
32,4743,637,626,2663,395,945,0
37,6449,635,628,3919,554,1546,0
35,12616,2254,491,3271,713,784,0
65,11427,764,643,2317,1438,1183,0
57,10943,1285,776,2826,861,1330,0
32,10193,1001,358,2657,380,563,0
45,11781,627,461,2781,546,691,0
28,4067,602,527,2188,669,831,0
10,14935,4228,289,2462,494,690,0
53,20907,13215,309,2669,530,-31,0
46,572,818,663,2389,453,1492,0
77,22286,2037,1636,2223,566,1874,0
14,6721,780,583,2616,514,976,0
26,1424,939,813,2319,574,1246,0
11,3963,464,371,2235,464,498,0
54,7311,567,449,3261,423,819,0
55,17646,2389,567,2184,1053,869,0
14,8104,815,617,2259,902,1008,0
140,3532,617,512,3762,401,1009,0
96,37890,12839,1440,2661,1035,1652,0
38,2665,657,532,2786,528,897,0
92,51734,17989,1613,5402,1379,912,0
63,2093,1111,924,2662,374,1305,0
23,39838,15943,706,2777,1043,576,0
72,10923,922,742,3369,1520,991,0
96,31385,4939,1457,3079,472,2278,0
103,10378,922,775,3421,706,1104,0
49,16459,7982,905,3129,600,1481,0
41,5496,738,718,3037,745,1259,0
33,811,719,717,4524,585,1290,0
105,16910,1220,1090,5117,939,1673,0
103,3036,1537,1188,4674,590,1545,0
58,8347,1032,892,3071,613,2669,0
38,17740,10356,413,2360,413,263,0
60,5191,831,690,2413,437,1424,0
13,746,602,623,2224,375,1296,0
22,11132,706,612,2674,500,1042,0
13,1676,647,642,2778,620,1088,0
36,11828,404,332,3469,543,899,0
66,4811,840,618,2695,404,1090,0
58,16659,728,513,2594,586,977,0
36,18672,4355,1436,3731,581,2706,0
87,32789,6053,1168,2939,495,1716,0
44,7043,542,496,2128,591,916,0
53,3893,1088,2553,2420,402,978,0
51,6837,2162,642,2947,541,1504,0
3,4046,792,556,2183,451,858,0
60,13400,1414,1686,2710,450,1344,0
18,13899,2193,703,2646,397,967,0
93,7031,2057,1371,3931,890,1940,0
44,11646,1194,920,2628,789,1776,0
16,12177,2579,321,2769,609,438,0
47,3874,495,486,2396,541,857,0
20,14603,6899,342,2358,489,499,0
15,907,442,364,2343,496,768,0
98,4745,678,669,2321,492,1242,0
14,32985,4488,997,2730,796,1452,0
73,6222,1092,859,3755,639,1206,0
76,33887,20315,1638,3408,608,2145,0
34,5961,584,486,2253,437,889,0
31,4563,932,590,2935,786,1372,0
26,12195,1014,644,2167,625,1081,0
18,8447,2717,271,2597,383,638,0
16,27327,3125,1224,3787,611,1345,0
81,5723,799,819,4768,520,1225,0
112,22560,1612,1483,3882,414,3293,0
56,3653,598,551,2479,384,882,0
9,2300,878,771,2698,555,1290,0
11,738,539,329,2190,568,723,0
27,3378,966,695,2637,726,1548,0
71,5821,1309,1103,2370,848,1396,0
12,2360,514,406,2756,624,890,0
57,3772,736,842,4702,416,1124,0
24,435,390,294,2563,370,762,0
131,30782,14405,1452,2725,1160,2016,0
102,32242,26842,926,4041,437,930,0
53,3666,423,376,2149,471,558,0
54,36694,14556,1665,4548,1142,1956,0
42,2815,593,516,2595,553,843,0
67,15992,1615,1132,4197,569,1625,0
148,2186,691,605,3508,1161,1230,0
39,9140,918,729,2539,404,1153,0
56,35277,14697,724,4252,548,628,0
36,7570,244,200,2785,409,489,0
72,11241,1023,649,3603,403,1440,0
68,4204,1362,1081,2374,540,1629,0
56,705,752,637,2602,461,1071,0
147,3223,1192,998,2681,421,1871,0
30,19636,8070,686,4106,717,955,0
87,20588,6984,1258,3070,713,2111,0
97,10213,1027,1956,2838,487,2562,0
44,11249,2930,896,2671,526,1996,0
40,14049,621,490,2708,630,805,0
41,636,912,662,2357,381,998,0
51,6459,808,599,3483,1044,942,0
66,6805,493,567,2497,563,1082,0
17,9397,1171,499,2229,528,915,0
-1,4407,772,593,2678,716,1176,0
56,968,916,934,2239,443,1211,0
35,2478,873,630,2321,727,1038,0
72,13589,2511,1106,2901,436,1982,0
81,6725,838,785,2883,474,1246,0
56,1175,624,492,721,180,1000,0
51,3671,429,345,2854,153,596,0
22,27708,13256,558,2159,510,1110,0
-12,4962,485,326,1990,74,674,0
29,19159,27115,261,1891,417,-162,0
61,1408,326,275,1667,212,472,0
48,2633,714,572,2673,273,1009,0
32,21054,14205,204,1351,282,-38,0
19,3570,277,325,1298,217,570,0
32,249,295,325,1287,119,504,0
48,9803,5616,741,2108,202,876,0
29,5015,246,210,1792,311,344,0
-4,13252,2655,366,668,152,568,0
31,3968,499,432,812,183,1070,0
25,17135,858,644,1059,110,872,0
45,3001,735,696,1018,387,1201,0
22,3481,414,397,1924,325,636,0
28,4825,725,522,4237,387,1166,0
27,19690,7607,314,1614,253,358,0
37,5104,574,645,1347,79,1011,0
35,6037,880,336,3384,335,674,0
23,5979,1053,921,1236,233,2234,0
9,989,417,331,1790,357,540,0
15,3469,850,756,2530,255,1488,0
151,216,671,658,670,266,508,0
21,12471,1053,378,1387,410,658,0
38,8693,647,591,1626,648,1220,0
23,5615,528,304,1883,338,875,0
59,914,307,257,621,29,365,0
35,2975,360,263,1214,62,445,0
71,13141,4969,709,1104,188,1225,0
14,11851,3310,1711,1028,174,657,0
14,9286,4595,244,1475,-10,289,0
58,77,404,436,1130,294,806,0
23,1095,566,524,2141,798,1206,0
-7,3184,493,300,898,290,742,0
28,9302,709,256,1157,104,759,0
27,11985,2144,2711,1435,400,1086,0
-3,27182,17031,724,2162,382,286,0
31,9,189,247,846,53,503,0
30,6381,697,541,1368,244,952,0
29,4434,686,567,1059,222,1449,0
31,4662,494,342,639,230,883,0
8,1810,421,399,2582,609,799,0
52,8516,601,506,3794,1295,1002,0
104,29890,2650,1505,2924,894,2372,0
45,766,439,432,1998,179,668,0
10,6777,696,362,1233,74,830,0
27,847,257,298,900,107,666,0
24,11517,2491,1666,1139,304,1345,0
-10,22391,13152,248,1470,325,69,0
32,5582,315,232,1135,161,340,0
88,2078,555,494,1202,63,944,0
10,4719,348,195,1034,256,396,0
40,1481,783,543,3437,871,899,0
6,15841,3841,413,1840,172,696,0
81,7261,1310,993,2872,649,1400,0
10,539,256,241,845,62,317,0
42,839,715,329,1978,354,512,0
109,2593,1227,1142,1420,156,2506,0
66,1324,652,480,2068,125,990,0
13,1822,616,427,3603,420,988,0
26,1797,390,252,1408,467,490,0
40,16259,3460,502,1587,232,1177,0
24,389,349,315,1974,404,546,0
12,26524,27487,462,995,228,-285,0
35,4177,236,167,1152,171,368,0
26,10130,1421,502,1802,219,735,0
24,8237,410,400,2476,194,687,0
44,4724,565,541,1556,663,918,0
59,6491,681,498,924,189,1061,0
1,1113,237,291,1644,167,435,0
38,2739,465,338,1898,134,657,0
