CD41_APCH7,PLVAP_APC,MICB_PE,Zombie,CD42_BV605,PVR_PECy7,Colony
269,58,267,436,783,684,0
297,33,839,307,"6,051","2,568",0
"1,658",578,"1,499",344,"11,028","1,600",1
859,265,125,866,"15,369",306,0
29,35,859,244,"2,980","1,425",0
"1,456",380,276,"1,460","18,923",688,0
569,111,287,290,"3,437",784,0
"1,185",500,902,324,"19,757",840,0
531,258,245,633,"23,118",353,0
"1,256",98,525,271,"2,459","1,219",1
"1,013",718,288,334,"29,358",330,0
976,58,338,483,972,"1,158",0
948,597,315,336,"25,145",176,0
273,58,288,683,"6,003",246,0
966,226,428,266,"4,310","1,025",0
"1,399",325,782,297,"7,140","2,666",0
142,29,367,582,786,487,0
705,202,526,562,"22,200",522,0
624,49,408,251,541,998,0
795,341,242,729,"16,420",364,0
957,272,329,257,"7,430",583,0
"1,088",601,65,545,"20,167",257,0
307,55,261,144,"4,852",945,0
545,261,940,338,"17,507","1,011",0
"1,685",616,259,488,"16,532",780,0
460,126,561,231,"12,164",592,0
363,23,455,175,557,675,0
632,124,208,"1,048","6,476",537,0
45,21,149,482,"9,183",169,0
312,173,710,302,"22,922",352,0
305,97,398,342,357,"1,086",0
"1,406",519,655,629,"5,039",834,0
375,86,142,974,"1,120","1,021",0
"1,893",383,219,584,"11,868",537,0
"1,608",798,629,322,"32,435",610,0
591,262,225,"1,288","19,143",202,0
717,240,546,"1,330","9,991","1,622",0
555,76,272,390,"3,553",425,0
709,172,562,145,550,833,0
501,143,148,318,"14,521",125,0
641,139,551,285,"10,988",677,0
"1,875",561,"1,025",332,"11,075",977,0
