Well,FSC_A,FSC_W,SSC_A,PVR_PECy7,ANXA1_APC,CD51_FITC,CD168_700,Zombie,CD41_APCH7,MICB_PE,CD42_BV605,Colony,Plate,Cells per well
A12,"139,088","137,516","26,231","1,421",-493,638,-125,-218,"14,079",259,"9,530",N,3,0
A13,"108,419","149,624","47,134","3,179",-299,"1,177",102,190,"15,944",-112,"7,184",N,3,0
A14,"90,122","124,483","28,135","1,879",-134,497,186,-18,"7,975",500,"7,267",N,3,0
A16,"129,992","145,994","29,594","2,607",-477,407,155,247,"11,245",320,"2,254",N,3,0
A18,"104,570","112,929","16,298","1,890",-445,473,-63,104,"12,191",-5,749,N,3,0
A19,"106,955","118,496","25,732","1,803",-95,362,69,166,"6,180",147,779,N,3,0
A21,"94,136","111,140","21,272","1,570",-8,306,-26,177,"4,197",166,225,N,3,0
A22,"149,717","147,600","45,300","6,286",-568,992,218,213,"24,624",336,"7,641",N,3,0
A23,"87,270","122,155","37,545","2,579",-464,461,51,75,"13,052",405,"6,266",N,3,0
A24,"126,019","160,148","46,681","3,909",-558,603,35,-174,"12,590",909,"11,940",N,3,0
B1,"121,561","128,659","23,368",943,-627,440,93,94,"16,185",100,"3,740",N,3,0
B4,"120,759","144,183","42,790","2,039",-210,176,18,45,"12,260",314,"9,787",N,3,0
B5,"117,651","117,314","20,109","1,477",-267,478,6,186,"5,925",74,"1,619",N,3,0
B6,"128,523","155,991","78,063",625,275,900,274,566,"17,962",786,"11,876",N,3,0
B7,"115,954","150,538","46,558","3,146",-106,600,7,389,"7,790",443,492,N,3,0
B8,"93,870","113,894","21,814","1,326",-245,291,78,241,"6,311",9,350,N,3,0
B9,"137,302","156,676","58,023","2,035",-457,60,239,"-1,770","12,463",205,"58,763",N,3,0
B10,"104,795","120,641","34,541","2,112",-75,399,-64,406,"4,148",176,533,N,3,0
B11,"133,491","144,917","40,862","2,866",-842,406,13,-245,"19,035","1,305","12,486",N,3,0
B12,"84,402","122,756","51,066","1,572","-1,247",113,421,-206,"31,187",107,"17,085",N,3,0
B13,"87,496","105,344","18,940","1,639",-348,379,113,109,"8,861",203,"1,444",N,3,0
B15,"131,534","158,974","35,674","5,276",-359,550,67,127,"10,520",82,"4,248",N,3,0
B16,"77,958","97,396","20,593","1,911",91,525,96,174,"2,117",54,"1,272",N,3,0
B17,"137,812","144,476","44,990","7,348",55,667,48,429,"4,805",510,443,N,3,0
B19,"109,203","125,952","46,139","5,457",-378,859,30,425,"18,789",107,"1,250",N,3,0
B20,"148,490","182,110","72,793",-442,-845,"1,439",539,394,"31,319",573,"8,647",N,3,0
B23,"178,835","192,711","55,935","4,403",-503,771,-5,533,"17,634",432,895,N,3,0
B24,"108,346","125,010","36,374","2,132",-500,406,148,291,"15,143",709,347,N,3,0
C1,"134,331","145,818","42,670","6,924",-155,"1,051",53,498,"6,096",-147,476,N,3,0
C2,"102,956","126,846","30,794","1,441",262,369,-15,426,"4,480",288,333,N,3,0
C3,"110,409","147,257","79,133",-146,-510,611,209,316,"16,343",108,"20,901",N,3,0
C4,"89,347","110,169","39,259","2,209",-83,450,13,345,"3,034",455,394,N,3,0
C5,"135,349","140,548","32,937","5,543",57,612,144,408,"4,935",91,534,N,3,0
C6,"98,534","122,151","32,851","1,456",36,314,68,361,"1,228",293,315,N,3,0
C7,"109,764","126,270","30,826","3,586",-57,292,126,197,"4,119",107,361,N,3,0
C8,"121,542","153,325","45,861","1,706",-236,562,492,151,"14,856",194,"7,662",N,3,0
C9,"89,946","137,968","59,349",-263,-779,"1,323",67,"1,056","22,260",244,"6,689",N,3,0
C10,"131,255","138,649","30,675","1,784",-152,472,1,304,"10,323",384,"2,534",N,3,0
C11,"119,585","133,840","41,473","1,363",-325,524,-19,-477,"14,265",-188,"18,851",N,3,0
C12,"103,415","113,614","21,290","3,711",-71,436,-13,175,"3,949",88,290,N,3,0
C13,"109,591","119,430","38,901","1,118",-594,486,127,341,"17,881",271,"1,506",N,3,0
C14,"130,080","166,942","104,260",482,665,648,-88,773,"8,731",803,"2,972",N,3,0
C16,"109,804","125,850","23,980","3,513",-427,548,138,254,"12,958",67,450,N,3,0
C18,"97,085","109,917","17,849","2,078",347,240,-183,184,"4,200",182,220,N,3,0
C21,"126,032","137,260","28,935","4,532",-176,610,74,336,"5,489",-28,368,N,3,0
C22,"99,346","142,283","41,691","1,669",-532,585,255,-759,"14,940",182,"26,973",N,3,0
C23,"115,167","137,507","33,943","3,811",-190,579,113,426,"7,101",578,841,N,3,0
C24,"127,022","158,345","50,947","2,476",-618,621,83,158,"17,908",565,"8,958",N,3,0
D1,"138,507","146,859","34,089","2,598",-511,292,117,-94,"12,611",680,"6,923",N,3,0
D2,"119,831","147,782","63,607","3,616",-32,796,95,508,"3,276",672,"3,574",N,3,0
D3,"91,542","113,884","38,928","2,139",-36,559,130,478,"2,446",284,431,N,3,0
D4,"125,448","132,980","28,280","1,149",-172,345,-108,167,"6,587",559,207,N,3,0
D5,"97,820","106,482","26,852",980,457,651,51,654,"9,272",613,844,N,3,0
D6,"118,947","126,583","25,526","4,134",-21,261,10,298,"2,426",4,275,N,3,0
D7,"105,044","117,117","23,799","2,031",-209,635,38,169,"6,968",-56,275,N,3,0
D8,"122,786","132,937","29,880","2,865",-209,512,32,69,"10,102",908,"8,850",N,3,0
D9,"120,279","124,701","46,845","1,169",-447,436,29,-197,"15,546",-37,"11,204",N,3,0
D10,"122,541","164,739","53,072","1,533",-241,630,-54,-14,"10,950",337,"13,954",N,3,0
D11,"98,717","122,028","37,034","1,873",76,332,-28,400,"2,356",343,576,N,3,0
D12,"93,983","107,408","27,936","2,725",-119,465,99,363,"4,761",240,644,N,3,0
D13,"96,589","115,554","22,459","3,682",-1,323,26,258,"2,190",53,331,N,3,0
D14,"97,348","118,987","26,262","2,837",-189,597,116,406,"6,469",124,865,N,3,0
D15,"87,742","108,846","20,108","1,748",104,181,221,180,"1,566",85,427,N,3,0
D17,"109,328","128,284","31,396","2,581",-179,247,98,215,"9,169","2,953",442,N,3,0
D18,"95,315","122,713","27,583","2,759",-327,507,70,420,"10,060",471,752,N,3,0
D20,"171,997","183,403","65,106","3,006",-718,928,-4,393,"23,556","1,198","7,202",N,3,0
D21,"92,225","107,418","31,319",473,-369,133,117,-741,"9,134",158,"19,459",N,3,0
D22,"84,308","119,023","51,910",437,229,713,40,905,"4,899",498,840,N,3,0
D23,"111,504","139,209","55,489","1,970",-629,467,323,252,"15,868",981,"9,413",N,3,0
D24,"104,005","132,392","32,675","3,908",-42,420,46,358,"3,558",19,350,N,3,0
E1,"82,797","137,090","37,403","5,930",-296,326,-139,85,"6,574",-154,"1,733",N,3,0
E2,"84,741","109,190","38,012",633,-489,398,103,291,"15,835",397,288,N,3,0
E3,"124,401","177,462","46,477","1,042",-223,186,-38,-558,"11,579",606,"23,251",N,3,0
E4,"110,566","121,865","26,762","2,514",-95,316,135,239,"6,532",147,381,N,3,0
E5,"120,542","134,973","66,208","2,140",-84,595,96,598,"5,684",400,"7,191",N,3,0
E6,"134,411","141,866","30,201","5,414",-63,510,67,228,"5,758",-127,"1,909",N,3,0
E7,"108,348","118,606","26,129","2,062",-501,637,149,153,"14,069",114,227,N,3,0
E8,"110,207","125,640","27,703","3,735",343,444,93,420,"8,608",321,"1,770",N,3,0
E9,"103,422","130,948","49,763","1,980",-34,630,47,651,"5,014",353,739,N,3,0
E10,"125,915","139,845","55,211",160,296,731,"2,249",589,"6,272",420,"3,589",N,3,0
E11,"94,876","123,809","42,626","4,279",-186,455,153,460,"6,061",111,445,N,3,0
E12,"103,165","148,852","71,253",432,-502,315,-122,120,"16,200",577,"13,289",N,3,0
E13,"94,371","112,727","27,960","2,042",-877,505,34,118,"19,396",291,"2,847",N,3,0
E14,"89,530","112,040","31,383",-505,-382,202,208,289,"14,398",192,"12,401",N,3,0
E15,"114,404","139,454","39,503","1,077",-272,854,189,-50,"11,722",478,"12,974",N,3,0
E18,"118,179","131,405","30,813","3,050",-453,405,190,51,"10,887",402,"4,672",N,3,0
E20,"89,381","121,873","31,862","3,851",-78,598,-19,204,"6,728",739,229,N,3,0
E21,"144,836","156,889","41,088",723,-583,525,188,-230,"12,731",556,"14,457",N,3,0
