CD41_APCH7,MICB_647,Zombie_violet,PVR_PECy7,CD51_FITC,VEGFR1_594,CD168_700,CD42_BV605,Colony
"14,360",31,-38,"1,087",511,"1,405","2,168",233,0
"4,902",-142,54,121,202,367,433,"8,699",0
"4,341",54,-157,469,246,"1,191","1,385",538,0
"1,465",268,204,942,"1,191",-72,677,278,0
"16,417",315,399,"1,439","1,273",36,"2,306","4,157",0
"3,429",83,-19,668,124,343,470,56,0
"10,286",-230,54,732,421,654,"2,021","3,187",0
"7,845",378,195,425,430,506,495,"2,279",0
"5,385",245,-264,874,45,"1,463",-63,278,0
"2,237",70,24,441,134,447,577,587,0
"11,213",-58,-254,211,-39,"1,428","1,030","3,846",0
"4,686",282,-32,"1,516",87,723,"2,474",256,0
"10,262",295,134,998,397,-226,"1,070","8,701",0
615,-16,-109,434,-55,596,184,-3,0
"1,094",-17,49,-6,106,964,221,"4,089",0
"7,902",134,260,57,396,-762,"1,608","18,059",0
"8,017",-31,-1,26,90,496,395,"5,256",0
"7,571",142,70,373,161,435,"1,462","8,288",0
"9,181",-10,-157,548,108,"1,074",658,"8,434",0
"16,182",94,20,967,304,"1,197","7,355","7,777",0
"10,322",-377,-336,"1,146",4,"1,823","14,586",-32,0
"2,533",248,-13,"1,520",440,488,325,364,0
"3,637",133,-33,"2,405",402,440,629,149,0
"8,199",-18,2,112,272,520,911,"2,857",0
"3,893",90,287,219,661,101,923,"7,294",0
"4,792",259,166,213,387,-177,308,"5,459",0
"4,583",205,-256,303,-96,"1,564",308,"1,125",0
"11,098","1,320",131,"3,941",999,637,"3,780","5,153",0
"3,144",97,38,769,394,383,"1,050",652,0
"7,529",-85,-7,449,150,514,995,"6,147",0
"4,103",12,192,178,341,-494,858,"9,310",0
"8,299",257,130,749,532,269,"2,494","1,875",0
"4,508",232,-151,437,36,"1,007",827,430,0
"12,594",652,494,494,"1,240","-1,900",864,"12,673",0
"3,197",199,-192,230,13,"1,360",618,331,0
"4,957",88,57,423,390,357,"1,020",256,0
"11,144",522,94,93,417,840,"1,664","2,808",0
"7,481",10,-81,298,145,544,256,"4,808",0
"9,081",625,233,832,588,-559,802,"6,170",0
"4,992",-19,-271,"1,639",-262,"1,673","1,053",-89,0
"1,896",176,-39,965,172,388,570,37,0
"13,210",601,386,291,717,-811,"2,948","11,272",0
"5,610",8,373,-238,732,48,"1,984","6,191",0
"8,007",353,45,"1,918",609,221,533,358,0
"7,805",48,-141,619,8,"1,368","1,536","2,602",0
"4,742",209,-41,468,107,517,119,-36,0
"10,639",-106,10,-12,213,630,"1,655","2,841",0
"3,915",390,5,"1,507",637,229,275,"2,014",0
"13,500","1,284",685,"1,967","1,607","-1,590","3,956","10,008",0
"9,769","-1,324",-746,854,"-3,133","6,537","67,315","-2,174",0
"6,252",276,-155,"1,101",-6,"1,223",415,357,0
"6,152",417,407,915,"1,007","-1,378","1,550","10,345",0
"4,816",58,227,167,638,-271,"1,979","5,517",0
"1,841",203,-71,813,119,522,95,-8,0
"1,165",23,-1,"1,904",77,341,582,27,0
"20,543",126,79,"2,057","1,040",790,"4,139","1,871",0
"10,287",-400,-823,393,"-1,168","4,243","1,941","12,986",0
"4,168",171,-52,437,234,"1,065","1,248","3,652",0
"12,815",694,-6,"1,902",946,911,"1,559","2,434",0
"6,252",103,-27,140,16,487,-330,"3,452",0
"7,697",-181,-345,-108,-363,"1,716",438,"9,658",0
"7,871",507,49,"1,454",598,466,"1,161",266,0
853,29,-482,"1,224",-473,"2,382",286,-376,0
"12,895",170,-296,"2,084",67,"1,751","1,623","4,950",0
"12,568",64,-145,862,389,"1,221",686,"12,484",0
"3,898",-52,-233,"1,487",193,"1,777","1,549",60,0
"9,778",-88,-28,70,45,584,629,"5,883",0
874,381,-9,"1,675",56,302,422,115,0
"3,748",169,55,674,395,59,235,416,0
"1,103",59,-65,"1,311",158,520,236,-38,0
"6,496",-111,-134,236,-148,861,"1,738","6,587",0
"4,768",378,-193,"1,409",71,"1,369","1,525",132,0
"3,541",525,262,"1,016","3,375",52,245,404,0
"4,771",200,76,458,364,227,"1,031","1,163",0
"3,888",240,-25,185,50,247,249,90,0
"3,351",294,237,352,531,-330,579,"2,409",0
"8,622",78,-106,357,113,817,716,"2,101",0
"5,291",205,80,"1,160",554,523,299,246,0
"10,299",235,-432,"1,648",-41,"2,319",363,"1,604",0
"7,700",2,-118,407,-144,"1,133","1,431","2,176",0
"4,940",-32,-145,803,21,811,396,55,0
"4,515",252,-119,403,105,757,418,-79,0
"11,402",51,-111,463,314,"1,314","1,818","1,377",0
"2,608",134,28,653,263,215,421,141,0
"12,905",537,-55,"1,418",220,859,"3,561",356,0
"3,851",286,-10,"1,227",388,442,830,709,0
406,491,-245,"2,013",-165,"1,521",364,-161,0
"2,074",142,292,-40,379,-799,720,"8,020",0
"7,378",177,-149,58,128,"2,154","1,078","9,394",0
"2,464",212,42,503,656,394,"1,080",222,0
"5,040",390,18,244,278,199,-118,91,0
"3,978",128,-96,"1,668",131,936,831,178,0
"2,680",194,-30,814,264,566,"1,154",388,0
"7,213",-208,-214,188,160,"1,546",788,923,0
"8,039",287,173,599,468,449,"1,174","2,043",0
"5,410",106,-135,772,465,"1,079",912,513,0
"3,130",176,-61,"1,377",505,861,"1,306",2,0
"3,772",231,-49,"1,202",213,519,"1,623",102,0
"4,943",35,34,162,243,149,562,"1,155",0
"17,766","1,006",327,"2,619","1,849",112,"4,534","6,871",0
"4,621",-49,-69,845,230,716,356,344,0
"6,697",251,-104,"1,933",240,826,581,-41,0
"4,428",118,-66,100,95,706,"3,676",976,0
"11,069",87,351,169,"1,133",-327,"2,055","12,532",0
"2,151",176,-99,"2,490",14,886,"1,161",92,0
"6,264",-130,50,363,533,410,481,504,0
"9,057",263,152,185,457,743,"1,876","10,643",0
"3,902",227,280,62,435,"-1,042",550,"10,972",0
"2,180",7,-28,414,57,337,-107,34,0
"5,146",185,220,269,359,-210,727,"1,758",0
"5,537",386,-132,627,77,963,473,50,0
"5,478",-114,-224,474,-41,"1,172","5,664",684,0
"7,723",-188,-385,"1,202",-289,"1,950",299,"4,263",0
"5,381",-8,70,856,497,49,655,"1,965",0
"9,029",-19,-13,529,583,704,"1,443","2,192",0
"5,613",176,-86,"2,213",249,763,"1,269",713,0
"9,950",284,175,"1,203",719,455,"1,510","5,039",0
"8,640",389,-111,674,202,778,353,"1,449",0
"7,795",-231,-250,196,-31,"1,327",849,"8,528",0
"11,593",654,327,"1,511","1,325",-436,"3,880","8,952",0
"7,005",-187,-209,"1,663",-5,"1,135","3,504",915,0
"10,494",445,-177,"1,801",237,"1,131",473,"1,301",0
"3,692",257,-58,444,134,750,965,186,0
"9,772",108,314,423,770,519,"1,654","9,448",0
"3,716",-10,-260,170,-42,"2,737","1,481","3,359",0
"6,070",-292,"-1,329",146,"-1,508","3,361","65,669","8,563",0
"10,483",208,-183,286,36,"1,113","1,155","5,057",0
"2,061",96,95,-10,165,62,131,"4,406",0
"11,369",-22,-215,"1,419",-147,"1,581","1,931","5,622",0
"9,688",178,-62,"1,125",413,693,"1,659","1,159",0
"5,498",325,307,283,589,-811,"1,452","6,162",0
"5,248",434,-45,"2,480",371,849,"3,961",241,0
"4,988",261,-54,776,201,868,"1,687",316,0
"3,560",459,-80,"1,428",304,502,429,50,0
"2,519",364,-47,"1,856",79,434,-109,38,0
"7,024",359,-75,"1,163",115,617,746,"3,230",0
"8,206",257,60,670,424,182,472,"1,493",0
"4,739",244,-6,868,150,517,912,633,0
"6,313",114,24,508,188,334,"1,320","1,771",0
"6,219",381,120,195,405,77,666,"1,738",0
"6,694",194,12,957,439,749,"1,323",246,0
"9,056",169,324,94,676,-18,"1,003","6,673",0
"5,804",180,202,304,454,-75,"1,365","21,145",0
"5,705",137,-10,213,294,501,938,"2,620",0
"1,441",193,-52,"1,299",273,498,230,78,0
"4,037",-65,-24,993,532,307,-91,94,0
"4,658",137,-126,286,221,"1,016",551,410,0
"4,422",-342,-677,-71,-939,"3,175",971,"3,985",0
"4,463",231,-214,"1,630",235,"1,262",763,115,0
"3,423",384,120,500,493,37,"1,933","4,557",0
"7,560",-427,-375,459,-223,"2,746","2,533","2,380",0
"4,350",-38,-199,755,-190,"1,255","2,244",-123,0
"1,452",22,39,469,472,307,78,113,0
"4,161",250,-18,669,291,447,316,141,0
"6,200",-132,-65,-8,81,528,184,"7,737",0
"4,887",-49,-131,"1,483",57,839,"1,224",215,0
"4,077",-20,-14,-46,72,535,"1,075","9,444",0
"5,351",176,-54,84,179,768,42,"6,365",0
"5,340",282,4,964,276,338,652,411,0
"3,859",205,-71,"2,554",511,523,646,93,0
"14,488",267,-29,"1,547",301,783,"2,039",458,0
